番号,タイピング単語一覧,列 1,ポイント,,,,,,,,,
1,行け,ike,30,,,黙れ回数(回),黙れ効果量(%),,,段階,音量が上がる,音量が下がる
2,来い,koi,30,,,1,100,,,0~20,2上がる,1下がる
3,帰れ,kaere,50,,,2,96,,,20~70,6上がる,3下がる
4,食べろ,tabero,60,,,3,90,,,70~100,4上がる,6下がる
5,飲め,nome,40,,,4,82,,,,,
6,見ろ,miro,40,,,5,72,,,,,
7,聞け,kike,40,,,6,60,,,,,
8,話せ,hanase,60,,,7,46,,,,,
9,読め,yome,40,,,8,32,,,,,
10,書け,kake,40,,,9,20,,,,,
11,買え,kae,30,,,10,10,,,,,
12,売れ,ura,30,,,11,2,,,,,
13,作れ,tukure,60,,,12,2,,,,,
14,使え,tukae,50,,,,以降は2%のみ,,,,,
15,遊べ,asobe,50,,,,,,,,,
16,学べ,manabe,60,,,言霊ポイント,黙れポイント,スコア,,,,
17,教えろ,osiero,60,,,書いた文字数×10,(黙らせた人数÷10)倍を加算,黙れまでの言霊ポイントに黙れをかける,,,,
18,習え,narae,50,,,,,,,,,
19,考えろ,kangaero,80,,,,,,,,,
20,知れ,sire,40,,,,,,,,,
21,分かれ,wakare,60,,,,,,,,,
22,覚えろ,oboero,60,,,,,,,,,
23,忘れろ,wasurero,80,,,,,,,,,
24,起きろ,okiro,50,,,,,,,,,
25,寝ろ,nero,40,,,,,,,,,
26,座れ,suware,60,,,,,,,,,
27,立て,tate,40,,,,,,,,,
28,歩け,aruke,50,,,,,,,,,
29,走れ,hasire,60,,,,,,,,,
30,飛べ,tobe,40,,,,,,,,,
31,泳げ,oyoge,50,,,,,,,,,
32,登れ,nobore,60,,,,,,,,,
33,降りろ,oriro,50,,,,,,,,,
34,開けろ,akero,50,,,,,,,,,
35,閉めろ,simero,60,,,,,,,,,
36,入れ,haire,50,,,,,,,,,
37,出ろ,dero,40,,,,,,,,,
38,始めろ,hajimero,80,,,,,,,,,
39,終われ,oware,50,,,,,,,,,
40,続けろ,tudukero,80,,,,,,,,,
41,止めろ,tomero,60,,,,,,,,,
42,待て,mate,40,,,,,,,,,
43,持て,mote,40,,,,,,,,,
44,置け,oke,30,,,,,,,,,
45,取れ,tore,40,,,,,,,,,
46,渡せ,watase,60,,,,,,,,,
47,受けろ,ukero,50,,,,,,,,,
48,送れ,okure,50,,,,,,,,,
49,届け,todoke,60,,,,,,,,,
50,会え,ae,20,,,,,,,,,
51,別れろ,wakarero,80,,,,,,,,,
52,笑え,warae,50,,,,,,,,,
53,泣け,nake,40,,,,,,,,,
54,怒れ,okore,50,,,,,,,,,
55,喜べ,yorokobe,80,,,,,,,,,
56,驚け,odoroke,70,,,,,,,,,
57,楽しめ,tanosime,80,,,,,,,,,
58,感じれ,kanjire,70,,,,,,,,,
59,思え,omoe,40,,,,,,,,,
60,願え,negae,50,,,,,,,,,
61,欲しがれ,hosigare,80,,,,,,,,,
62,好め,konome,60,,,,,,,,,
63,選べ,erabe,50,,,,,,,,,
64,決めろ,kimero,60,,,,,,,,,
65,変えろ,kaero,50,,,,,,,,,
66,変われ,kaware,60,,,,,,,,,
67,動け,ugoke,50,,,,,,,,,
68,動かせ,ugokase,70,,,,,,,,,
69,止まれ,tomare,60,,,,,,,,,
70,壊せ,kowase,60,,,,,,,,,
71,壊れろ,kowarero,80,,,,,,,,,
72,直せ,naose,50,,,,,,,,,
73,洗え,arae,40,,,,,,,,,
74,掃除しろ,soujisiro,90,,,,,,,,,
75,着ろ,kiro,40,,,,,,,,,
76,脱げ,nuge,40,,,,,,,,,
77,着替えろ,kigaero,70,,,,,,,,,
78,齷齪するな,akusekusuruna,130,,,,,,,,,
79,切れ,kire,40,,,,,,,,,
80,焼け,yake,40,,,,,,,,,
81,煮ろ,niro,40,,,,,,,,,
82,探せ,sagase,60,,,,,,,,,
83,見つけろ,mitukero,80,,,,,,,,,
84,失え,usinae,60,,,,,,,,,
85,拾え,hiroe,50,,,,,,,,,
86,落とせ,otose,50,,,,,,,,,
87,落ちろ,otiro,50,,,,,,,,,
88,押せ,ose,30,,,,,,,,,
89,引け,hike,40,,,,,,,,,
90,惹かれろ,hikarero,80,,,,,,,,,
91,打て,uta,30,,,,,,,,,
92,蹴ろ,kero,40,,,,,,,,,
93,捕まえろ,tukamaero,90,,,,,,,,,
94,逃げろ,nigero,60,,,,,,,,,
95,守れ,mamore,60,,,,,,,,,
96,助けろ,tasukero,80,,,,,,,,,
97,戦え,tatakae,70,,,,,,,,,
98,勝て,kate,40,,,,,,,,,
99,負けろ,makero,60,,,,,,,,,
100,嗽しろ,ugaisiro,80,,,,,,,,,
